,,Demand
sc03,01-13 18:00:00+01:00,3784.567
sc03,01-13 19:00:00+01:00,3841.973
sc03,01-13 20:00:00+01:00,3651.376
sc03,01-13 21:00:00+01:00,3277.227
sc03,01-13 22:00:00+01:00,3058.187
sc03,01-13 23:00:00+01:00,2848.222
sc03,01-14 00:00:00+01:00,2663.513
sc03,01-14 01:00:00+01:00,2516.295
sc03,01-14 02:00:00+01:00,2381.396
sc03,01-14 03:00:00+01:00,2281.583
sc03,01-14 04:00:00+01:00,2183.313
sc03,01-14 05:00:00+01:00,2253.162
sc03,01-14 06:00:00+01:00,2502.598
sc03,01-14 07:00:00+01:00,2830.663
sc03,01-14 08:00:00+01:00,3148.431
sc03,01-14 09:00:00+01:00,3316.863
sc03,01-14 10:00:00+01:00,3355.602
sc03,01-14 11:00:00+01:00,3389.443
sc03,01-14 12:00:00+01:00,3378.814
sc03,01-14 13:00:00+01:00,3251.828
sc03,01-14 14:00:00+01:00,3145.937
sc03,01-14 15:00:00+01:00,3154.638
sc03,01-14 16:00:00+01:00,3352.876
sc03,01-14 17:00:00+01:00,3613.624
sc03,01-14 18:00:00+01:00,3788.933
sc03,01-14 19:00:00+01:00,3889.257
sc03,01-14 20:00:00+01:00,3775.83
sc03,01-14 21:00:00+01:00,3432.696
sc03,01-14 22:00:00+01:00,3213.334
sc03,01-14 23:00:00+01:00,2996.359
sc03,01-15 00:00:00+01:00,2840.26
sc03,01-15 01:00:00+01:00,2734.994
sc03,01-15 02:00:00+01:00,2653.678
sc03,01-15 03:00:00+01:00,2723.33
sc03,01-15 04:00:00+01:00,2962.751
sc03,01-15 05:00:00+01:00,3392.74
sc03,01-15 06:00:00+01:00,3848.994
sc03,01-15 07:00:00+01:00,4181.574
sc03,01-15 08:00:00+01:00,4387.965
sc03,01-15 09:00:00+01:00,4463.849
sc03,01-15 10:00:00+01:00,4453.996
sc03,01-15 11:00:00+01:00,4385.576
sc03,01-15 12:00:00+01:00,4254.136
sc03,01-15 13:00:00+01:00,4105.853
sc03,01-15 14:00:00+01:00,4037.08
sc03,01-15 15:00:00+01:00,4037.392
sc03,01-15 16:00:00+01:00,4179.747
sc03,01-15 17:00:00+01:00,4438.81
sc03,01-15 18:00:00+01:00,4646.541
sc03,01-15 19:00:00+01:00,4604.737
sc03,01-15 20:00:00+01:00,4227.583
sc03,01-15 21:00:00+01:00,3725.07
sc03,01-15 22:00:00+01:00,3478.577
sc03,01-15 23:00:00+01:00,2995.293
sc03,01-16 00:00:00+01:00,2845.084
sc03,01-16 01:00:00+01:00,2743.593
sc03,01-16 02:00:00+01:00,2663.576
sc03,01-16 03:00:00+01:00,2731.378
sc03,01-16 04:00:00+01:00,2969.258
sc03,01-16 05:00:00+01:00,3400.088
sc03,01-16 06:00:00+01:00,3852.593
